episode,reward,agent
0,1,CFR
0,-1,Q-Learning
1,1,CFR
1,1,Q-Learning
2,-1,CFR
2,1,Q-Learning
3,-2,CFR
3,1,Q-Learning
4,1,CFR
4,-2,Q-Learning
5,1,CFR
5,-1,Q-Learning
6,-1,CFR
6,1,Q-Learning
7,1,CFR
7,2,Q-Learning
8,1,CFR
8,2,Q-Learning
9,-1,CFR
9,-1,Q-Learning
10,-1,CFR
10,-1,Q-Learning
11,-1,CFR
11,-2,Q-Learning
12,-2,CFR
12,2,Q-Learning
13,1,CFR
13,1,Q-Learning
14,2,CFR
14,2,Q-Learning
15,-1,CFR
15,2,Q-Learning
16,-1,CFR
16,-2,Q-Learning
17,1,CFR
17,-1,Q-Learning
18,-1,CFR
18,2,Q-Learning
19,-1,CFR
19,1,Q-Learning
20,1,CFR
20,1,Q-Learning
21,1,CFR
21,-2,Q-Learning
22,-1,CFR
22,2,Q-Learning
23,-2,CFR
23,1,Q-Learning
24,-2,CFR
24,1,Q-Learning
25,-1,CFR
25,1,Q-Learning
26,-2,CFR
26,1,Q-Learning
27,-2,CFR
27,1,Q-Learning
28,-1,CFR
28,-1,Q-Learning
29,1,CFR
29,-2,Q-Learning
30,1,CFR
30,-2,Q-Learning
31,2,CFR
31,1,Q-Learning
32,-1,CFR
32,-1,Q-Learning
33,1,CFR
33,-1,Q-Learning
34,1,CFR
34,1,Q-Learning
35,-1,CFR
35,-1,Q-Learning
36,-1,CFR
36,2,Q-Learning
37,1,CFR
37,-1,Q-Learning
38,-1,CFR
38,-2,Q-Learning
39,-1,CFR
39,1,Q-Learning
40,1,CFR
40,1,Q-Learning
41,-1,CFR
41,1,Q-Learning
42,2,CFR
42,-1,Q-Learning
43,1,CFR
43,1,Q-Learning
44,-1,CFR
44,-1,Q-Learning
45,1,CFR
45,-1,Q-Learning
46,2,CFR
46,-2,Q-Learning
47,1,CFR
47,1,Q-Learning
48,-1,CFR
48,1,Q-Learning
49,2,CFR
49,-1,Q-Learning
50,1,CFR
50,-1,Q-Learning
51,-1,CFR
51,-1,Q-Learning
52,1,CFR
52,1,Q-Learning
53,1,CFR
53,1,Q-Learning
54,1,CFR
54,-1,Q-Learning
55,2,CFR
55,2,Q-Learning
56,1,CFR
56,1,Q-Learning
57,1,CFR
57,1,Q-Learning
58,-1,CFR
58,2,Q-Learning
59,1,CFR
59,-2,Q-Learning
60,-1,CFR
60,1,Q-Learning
61,-2,CFR
61,2,Q-Learning
62,-2,CFR
62,1,Q-Learning
63,2,CFR
63,-2,Q-Learning
64,-2,CFR
64,-1,Q-Learning
65,-1,CFR
65,1,Q-Learning
66,2,CFR
66,1,Q-Learning
67,-2,CFR
67,1,Q-Learning
68,1,CFR
68,1,Q-Learning
69,-2,CFR
69,1,Q-Learning
70,-1,CFR
70,1,Q-Learning
71,-1,CFR
71,1,Q-Learning
72,-1,CFR
72,-1,Q-Learning
73,-1,CFR
73,2,Q-Learning
74,1,CFR
74,-2,Q-Learning
75,-1,CFR
75,1,Q-Learning
76,-1,CFR
76,-2,Q-Learning
77,-2,CFR
77,-1,Q-Learning
78,-1,CFR
78,-1,Q-Learning
79,2,CFR
79,-1,Q-Learning
80,2,CFR
80,1,Q-Learning
81,-1,CFR
81,-1,Q-Learning
82,-2,CFR
82,-1,Q-Learning
83,1,CFR
83,-1,Q-Learning
84,-1,CFR
84,-1,Q-Learning
85,-1,CFR
85,1,Q-Learning
86,-1,CFR
86,-1,Q-Learning
87,-1,CFR
87,1,Q-Learning
88,1,CFR
88,1,Q-Learning
89,-1,CFR
89,1,Q-Learning
90,-2,CFR
90,1,Q-Learning
91,-1,CFR
91,-2,Q-Learning
92,1,CFR
92,-1,Q-Learning
93,2,CFR
93,-1,Q-Learning
94,2,CFR
94,-1,Q-Learning
95,1,CFR
95,-1,Q-Learning
96,1,CFR
96,-1,Q-Learning
97,-1,CFR
97,-1,Q-Learning
98,-1,CFR
98,-1,Q-Learning
99,-1,CFR
99,-1,Q-Learning
100,1,CFR
100,-1,Q-Learning
101,-1,CFR
101,-1,Q-Learning
102,-1,CFR
102,1,Q-Learning
103,1,CFR
103,-1,Q-Learning
104,-1,CFR
104,1,Q-Learning
105,1,CFR
105,1,Q-Learning
106,1,CFR
106,1,Q-Learning
107,-1,CFR
107,2,Q-Learning
108,-1,CFR
108,1,Q-Learning
109,-1,CFR
109,-1,Q-Learning
110,-1,CFR
110,-1,Q-Learning
111,2,CFR
111,-2,Q-Learning
112,-1,CFR
112,-1,Q-Learning
113,1,CFR
113,-1,Q-Learning
114,-1,CFR
114,-1,Q-Learning
115,-2,CFR
115,-1,Q-Learning
116,2,CFR
116,-1,Q-Learning
117,1,CFR
117,-1,Q-Learning
118,1,CFR
118,1,Q-Learning
119,-2,CFR
119,-1,Q-Learning
120,2,CFR
120,-1,Q-Learning
121,-1,CFR
121,-2,Q-Learning
122,1,CFR
122,1,Q-Learning
123,-2,CFR
123,-1,Q-Learning
124,-2,CFR
124,2,Q-Learning
125,1,CFR
125,-1,Q-Learning
126,1,CFR
126,1,Q-Learning
127,-1,CFR
127,1,Q-Learning
128,-1,CFR
128,1,Q-Learning
129,-2,CFR
129,-1,Q-Learning
130,1,CFR
130,1,Q-Learning
131,2,CFR
131,-1,Q-Learning
132,1,CFR
132,-1,Q-Learning
133,1,CFR
133,1,Q-Learning
134,-1,CFR
134,1,Q-Learning
135,-1,CFR
135,1,Q-Learning
136,-1,CFR
136,1,Q-Learning
137,-1,CFR
137,-1,Q-Learning
138,1,CFR
138,-1,Q-Learning
139,2,CFR
139,-1,Q-Learning
140,-1,CFR
140,1,Q-Learning
141,-1,CFR
141,1,Q-Learning
142,-2,CFR
142,1,Q-Learning
143,2,CFR
143,1,Q-Learning
144,-1,CFR
144,1,Q-Learning
145,1,CFR
145,-1,Q-Learning
146,-1,CFR
146,-1,Q-Learning
147,-1,CFR
147,1,Q-Learning
148,-1,CFR
148,1,Q-Learning
149,1,CFR
149,1,Q-Learning
150,-1,CFR
150,-1,Q-Learning
151,1,CFR
151,-2,Q-Learning
152,-2,CFR
152,-1,Q-Learning
153,-2,CFR
153,-1,Q-Learning
154,-2,CFR
154,1,Q-Learning
155,2,CFR
155,1,Q-Learning
156,2,CFR
156,-1,Q-Learning
157,1,CFR
157,1,Q-Learning
158,1,CFR
158,-1,Q-Learning
159,1,CFR
159,-1,Q-Learning
160,-1,CFR
160,2,Q-Learning
161,1,CFR
161,-2,Q-Learning
162,1,CFR
162,-1,Q-Learning
163,-1,CFR
163,1,Q-Learning
164,-1,CFR
164,-1,Q-Learning
165,-1,CFR
165,-2,Q-Learning
166,-1,CFR
166,-1,Q-Learning
167,1,CFR
167,-1,Q-Learning
168,1,CFR
168,1,Q-Learning
169,1,CFR
169,-2,Q-Learning
170,1,CFR
170,-1,Q-Learning
171,-1,CFR
171,1,Q-Learning
172,-1,CFR
172,-1,Q-Learning
173,-2,CFR
173,1,Q-Learning
174,1,CFR
174,-1,Q-Learning
175,-1,CFR
175,1,Q-Learning
176,-2,CFR
176,1,Q-Learning
177,1,CFR
177,-2,Q-Learning
178,-1,CFR
178,-1,Q-Learning
179,-1,CFR
179,1,Q-Learning
180,1,CFR
180,-1,Q-Learning
181,-1,CFR
181,1,Q-Learning
182,1,CFR
182,-2,Q-Learning
183,-1,CFR
183,-1,Q-Learning
184,-1,CFR
184,2,Q-Learning
185,1,CFR
185,-1,Q-Learning
186,-1,CFR
186,1,Q-Learning
187,1,CFR
187,-2,Q-Learning
188,1,CFR
188,-1,Q-Learning
189,-1,CFR
189,-2,Q-Learning
190,1,CFR
190,1,Q-Learning
191,1,CFR
191,1,Q-Learning
192,1,CFR
192,-1,Q-Learning
193,-1,CFR
193,1,Q-Learning
194,1,CFR
194,-1,Q-Learning
195,2,CFR
195,-1,Q-Learning
196,1,CFR
196,-1,Q-Learning
197,-2,CFR
197,1,Q-Learning
198,1,CFR
198,2,Q-Learning
199,1,CFR
199,-1,Q-Learning
200,-1,CFR
200,-2,Q-Learning
201,-2,CFR
201,1,Q-Learning
202,1,CFR
202,-1,Q-Learning
203,-1,CFR
203,-1,Q-Learning
204,2,CFR
204,-1,Q-Learning
205,-2,CFR
205,-2,Q-Learning
206,-1,CFR
206,-1,Q-Learning
207,-1,CFR
207,-1,Q-Learning
208,-2,CFR
208,2,Q-Learning
209,1,CFR
209,-1,Q-Learning
210,1,CFR
210,-1,Q-Learning
211,2,CFR
211,1,Q-Learning
212,-1,CFR
212,-1,Q-Learning
213,-2,CFR
213,1,Q-Learning
214,-1,CFR
214,1,Q-Learning
215,-1,CFR
215,1,Q-Learning
216,-1,CFR
216,-1,Q-Learning
217,1,CFR
217,1,Q-Learning
218,-1,CFR
218,1,Q-Learning
219,-2,CFR
219,1,Q-Learning
220,-2,CFR
220,-1,Q-Learning
221,-2,CFR
221,1,Q-Learning
222,1,CFR
222,1,Q-Learning
223,-1,CFR
223,-1,Q-Learning
224,1,CFR
224,2,Q-Learning
225,2,CFR
225,1,Q-Learning
226,-1,CFR
226,-1,Q-Learning
227,-1,CFR
227,1,Q-Learning
228,-2,CFR
228,1,Q-Learning
229,1,CFR
229,-1,Q-Learning
230,-2,CFR
230,-1,Q-Learning
231,-1,CFR
231,1,Q-Learning
232,-1,CFR
232,-1,Q-Learning
233,-2,CFR
233,-1,Q-Learning
234,-1,CFR
234,1,Q-Learning
235,1,CFR
235,1,Q-Learning
